instrument	category	source	collection	bright	odd	slope	flat	h1	crest	zcr
ESW Real - Guitar Acou Harm 01 WT.xrni	near sine	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Guitar Acou Harm 01.wav	Echo Sound Works Core (free pack)	1.062	0.939	-11.703	0.000	0.938	1.693	0.000
ESW Real - Organ 02 WT.xrni	near sine	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Organ 02.wav	Echo Sound Works Core (free pack)	2.685	0.807	-14.196	0.000	0.746	2.200	0.004
ESW Real - Rhodes Hybrid WT.xrni	near sine	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Rhodes Hybrid.wav	Echo Sound Works Core (free pack)	1.354	0.736	-6.354	0.000	0.716	1.806	0.001
ESW Real - ST Violin Stac WT.xrni	near sine	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - ST Violin Stac.wav	Echo Sound Works Core (free pack)	1.581	0.652	-13.351	0.000	0.507	2.194	0.000
ESW Real - Trumpeter 01 WT.xrni	near sine	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Trumpeter 01.wav	Echo Sound Works Core (free pack)	2.104	0.449	-6.510	0.000	0.332	2.231	0.002
ESW Real - World Japanese Guitar WT.xrni	near sine	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - World Japanese Guitar.wav	Echo Sound Works Core (free pack)	2.394	0.840	-5.880	0.001	0.300	2.241	0.001
Electric Combo Piano WT.xrni	near sine	/home/meneses/.local/share/vital/Vital Harvest/Presets/Electric Combo Piano.vital	other	1.347	0.816	-5.940	0.000	0.735	1.749	0.002
FM FB1 WT.xrni	near sine	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/FM Feedback/FM FB1.vitaltable	Kimura Taro (CC0)	1.076	0.945	-6.439	0.000	0.937	1.415	0.002
Flange Flames WT.xrni	near sine	/home/meneses/.local/share/vital/Vital Harvest/Presets/Flange Flames.vital	other	2.180	0.718	-6.628	0.003	0.418	1.427	0.004
Fluetey WT.xrni	near sine	/home/meneses/.local/share/vital/nahush2321/Wavetables/Fluetey.vitaltable	user/Discord presets (third-party)	5.151	0.606	-7.040	0.000	0.153	2.131	0.008
Heavy Rock Toms WT.xrni	near sine	/home/meneses/.local/share/vital/Vital Harvest/Presets/Heavy Rock Toms.vital	other	5.368	0.998	-6.890	0.000	0.006	1.808	0.002
Hi-Hat 6 WT.xrni	near sine	/home/meneses/.local/share/vital/Vital Harvest/Presets/Hi-Hat 6.vital	other	172.333	0.733	-7.432	0.000	0.067	2.359	0.255
Keys - Ultra Cinematic WT.xrni	near sine	/home/meneses/.local/share/vital/Vital Harvest/Presets/Keys - Ultra Cinematic.vital	other	1.732	0.437	-6.770	0.004	0.422	2.159	0.002
MISC Digi Choir WT.xrni	near sine	/home/meneses/.local/share/vital/Vital Harvest/Presets/MISC Digi Choir.vital	other	1.021	0.982	-8.155	0.000	0.981	1.564	0.002
Mostly Cloudy WT.xrni	near sine	/home/meneses/.local/share/vital/VitalBank/Presets/Mostly Cloudy.vital	other	4.602	0.948	-9.414	0.000	0.607	1.992	0.007
ND-02-Snare1 WT.xrni	near sine	/home/meneses/.local/share/vital/Vital Harvest/Presets/ND-02-Snare1.vital	other	2.054	0.576	-10.975	0.000	0.404	2.152	0.002
ND-02-Snare1-Random WT.xrni	near sine	/home/meneses/.local/share/vital/Vital Harvest/Presets/ND-02-Snare1-Random.vital	other	1.264	0.849	-8.505	0.000	0.848	1.369	0.002
PL - Hyperpop WT.xrni	near sine	/home/meneses/.local/share/vital/Vital Harvest/Presets/PL - Hyperpop.vital	other	2.284	0.039	-14.036	0.000	0.019	1.757	0.002
PURE_MAJ WT.xrni	near sine	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/PURE_MAJ.vitaltable	WaveEdit Online (CC0)	2.864	0.603	-7.209	0.001	0.432	1.970	0.038
Phase1 WT.xrni	near sine	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Phase/Phase1.vitaltable	Kimura Taro (CC0)	1.606	0.409	-6.149	0.003	0.408	1.864	0.002
Raid WT.xrni	near sine	/home/meneses/.local/share/vital/Growl 6 - Heavy Basses/Presets/Raid.vital	user/Discord presets (third-party)	2.523	0.742	-6.222	0.000	0.559	1.435	0.004
Rhodes WT.xrni	near sine	/home/meneses/.local/share/vital/Vital Harvest/Presets/Rhodes.vital	other	3.118	0.709	-11.934	0.000	0.351	2.261	0.001
Roto Toms WT.xrni	near sine	/home/meneses/.local/share/vital/Vital Harvest/Presets/Roto Toms.vital	other	4.912	1.000	-6.791	0.000	0.005	1.753	0.002
SDS - Vox - Angelic WT.xrni	near sine	/home/meneses/.local/share/vital/Vital Harvest/Presets/SDS - Vox - Angelic.vital	other	2.493	0.274	-7.383	0.001	0.017	1.994	0.001
SYNLP140 WT.xrni	near sine	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP140.vitaltable	WaveEdit Online (CC0)	1.521	0.888	-8.336	0.000	0.757	1.733	0.008
SYNLP175 WT.xrni	near sine	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP175.vitaltable	WaveEdit Online (CC0)	1.575	0.529	-6.424	0.002	0.489	1.815	0.009
SYNLP39 WT.xrni	near sine	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP39.vitaltable	WaveEdit Online (CC0)	2.259	0.488	-7.437	0.002	0.345	1.945	0.014
SYNLP72 WT.xrni	near sine	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP72.vitaltable	WaveEdit Online (CC0)	2.159	0.479	-6.421	0.006	0.197	1.416	0.032
SYNLP89 WT.xrni	near sine	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/SYNLP89.vitaltable	WaveEdit Online (CC0)	1.772	0.838	-6.227	0.002	0.726	1.265	0.014
Salted Caramel Keys WT.xrni	near sine	/home/meneses/.local/share/vital/Vital Harvest/Presets/Salted Caramel Keys.vital	other	1.557	0.554	-5.952	0.000	0.499	2.038	0.002
Shakuhachi WT.xrni	near sine	/home/meneses/.local/share/vital/Vital Harvest/Presets/Shakuhachi.vital	other	1.073	0.978	-11.306	0.000	0.956	1.426	0.002
Sine waver WT.xrni	near sine	/home/meneses/.local/share/vital/nahush2321/Wavetables/Sine waver.vitaltable	user/Discord presets (third-party)	2.712	0.923	-6.626	0.000	0.624	1.848	0.005
SnareAttempt1 WT.xrni	near sine	/home/meneses/.local/share/vital/Vital Harvest/Presets/SnareAttempt1.vital	other	1.092	0.925	-13.379	0.000	0.917	1.475	0.002
Standard Hammond Organ WT.xrni	near sine	/home/meneses/.local/share/vital/Vital Harvest/Presets/Standard Hammond Organ.vital	other	2.015	0.583	-7.680	0.000	0.383	2.075	0.001
Tester169 WT.xrni	near sine	/home/meneses/.local/share/vital/Vital Harvest/Presets/Tester169.vital	other	4.205	0.682	-8.421	0.000	0.550	2.451	0.005
WIP Toms WT.xrni	near sine	/home/meneses/.local/share/vital/Vital Harvest/Presets/WIP Toms.vital	other	1.015	0.989	-8.446	0.000	0.987	1.383	0.002
Wub Mideh WT.xrni	near sine	/home/meneses/.local/share/vital/VitalPresets/Presets/Wub Mideh.vital	user/Discord presets (third-party)	26.000	0.510	-7.769	0.000	0.020	7.387	0.005
ba.020 WT.xrni	near sine	/home/meneses/.local/share/vital/qub1t/Presets/ba.020.vital	user/Discord presets (third-party)	1.387	0.818	-6.203	0.000	0.728	1.968	0.002
ba.species WT.xrni	near sine	/home/meneses/.local/share/vital/qub1t/Presets/ba.species.vital	user/Discord presets (third-party)	2.694	0.738	-7.039	0.000	0.616	2.072	0.012
ky.003 WT.xrni	near sine	/home/meneses/.local/share/vital/qub1t/Presets/ky.003.vital	user/Discord presets (third-party)	2.685	0.807	-8.902	0.000	0.746	2.200	0.004
ky.022 WT.xrni	near sine	/home/meneses/.local/share/vital/qub1t/Presets/ky.022.vital	user/Discord presets (third-party)	3.156	0.834	-9.139	0.000	0.552	1.789	0.006
or.001 WT.xrni	near sine	/home/meneses/.local/share/vital/qub1t/Presets/or.001.vital	user/Discord presets (third-party)	1.106	0.992	-6.615	0.001	0.951	1.659	0.002
sine curces WT.xrni	near sine	/home/meneses/.local/share/vital/nahush2321/Wavetables/sine curces.vitaltable	user/Discord presets (third-party)	1.135	0.988	-7.134	0.000	0.935	1.282	0.002
sine snake WT.xrni	near sine	/home/meneses/.local/share/vital/nahush2321/Wavetables/sine snake.vitaltable	user/Discord presets (third-party)	1.338	0.815	-7.042	0.000	0.739	1.744	0.002
259e-Mix3 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Buchla 259e-Red/259e-Mix3.vitaltable	Kimura Taro (CC0)	21.322	0.062	-1.158	0.335	0.000	3.624	0.038
259e-R3 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Buchla 259e-Red/259e-R3.vitaltable	Kimura Taro (CC0)	2.287	0.276	-3.737	0.029	0.215	1.919	0.004
A Night in Kalyan WT.xrni	octave and folded	/home/meneses/.local/share/vital/Factory Presets/Presets/A Night in Kalyan.vital	other	11.972	0.250	-2.366	0.026	0.040	2.774	0.002
AAHWOHYE WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/AAHWOHYE.vitaltable	WaveEdit Online (CC0)	3.876	0.002	-3.143	0.060	0.001	2.000	0.034
ADDITIVE WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/ADDITIVE.vitaltable	WaveEdit Online (CC0)	33.992	0.124	0.879	0.000	0.000	2.803	0.212
AKVF_VID WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/AKVF_VID.vitaltable	WaveEdit Online (CC0)	15.302	0.066	-1.260	0.199	0.001	2.033	0.021
AKWF_FMS WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/AKWF_FMS.vitaltable	WaveEdit Online (CC0)	12.092	0.121	-1.569	0.156	0.002	1.803	0.159
ASSYMETR WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/ASSYMETR.vitaltable	WaveEdit Online (CC0)	6.195	0.207	-2.658	0.189	0.022	1.749	0.077
AUDIOTER WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/AUDIOTER.vitaltable	WaveEdit Online (CC0)	8.350	0.274	-4.874	0.001	0.002	2.194	0.095
Add Synth3 Icarus WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Additive Synth/Add Synth3 Icarus.vitaltable	Kimura Taro (CC0)	7.742	0.093	-2.491	0.003	0.026	2.014	0.013
Add Synth4 IcarusStack WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Additive Synth/Add Synth4 IcarusStack.vitaltable	Kimura Taro (CC0)	47.198	0.084	-1.780	0.015	0.048	3.201	0.047
Analog Electric Sunshine WT.xrni	octave and folded	/home/meneses/.local/share/vital/VitalBank/Presets/Analog Electric Sunshine.vital	other	2.031	0.183	-4.536	0.005	0.161	1.860	0.000
Bass - Funkdefy WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Bass - Funkdefy.vital	other	3.047	0.000	-2.742	0.014	0.000	1.678	0.005
Bass - Guard Dog WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Bass - Guard Dog.vital	other	13.408	0.375	-1.369	0.000	0.000	2.167	0.018
Bass - Squared WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Bass - Squared.vital	other	6.897	0.000	-0.725	0.082	0.000	2.116	0.003
Bazille FR1 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Bazille/Bazille FR1.vitaltable	Kimura Taro (CC0)	5.945	0.307	-3.269	0.021	0.127	3.071	0.004
Bazille FR2 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Bazille/Bazille FR2.vitaltable	Kimura Taro (CC0)	7.602	0.301	-2.467	0.076	0.089	2.240	0.009
Bazille PD1 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Bazille/Bazille PD1.vitaltable	Kimura Taro (CC0)	3.475	0.281	-3.635	0.045	0.188	2.726	0.005
Bazille PD3 AM WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Bazille/Bazille PD3 AM.vitaltable	Kimura Taro (CC0)	12.892	0.024	-1.644	0.178	0.000	2.410	0.011
Bazille PD3 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Bazille/Bazille PD3.vitaltable	Kimura Taro (CC0)	6.262	0.024	-2.305	0.057	0.000	2.280	0.009
Bazille PDFR2 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Bazille/Bazille PDFR2.vitaltable	Kimura Taro (CC0)	10.755	0.336	-1.687	0.094	0.112	2.244	0.009
Bells - RM Dude WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Bells - RM Dude.vital	other	7.588	0.000	-0.707	0.232	0.000	2.948	0.004
Chords for love WT.xrni	octave and folded	/home/meneses/.local/share/vital/nahush2321/Presets/Chords for love.vital	user/Discord presets (third-party)	4.805	0.018	-3.433	0.009	0.001	2.343	0.006
DIY WT.xrni	octave and folded	/home/meneses/.local/share/vital/Factory Presets/Presets/DIY.vital	other	2.525	0.066	-4.027	0.025	0.030	2.025	0.000
DSPWF WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/DSP Wavefolder/DSPWF.vitaltable	Kimura Taro (CC0)	31.911	0.251	-1.602	0.005	0.060	1.937	0.046
Damped Horn WT.xrni	octave and folded	/home/meneses/.local/share/vital/Factory Presets/Presets/Damped Horn.vital	other	3.235	0.197	-5.565	0.001	0.059	2.764	0.002
Data Entry Bells WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Data Entry Bells.vital	other	5.192	0.265	-1.923	0.089	0.213	2.825	0.003
Digi Sync WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Digi Sync.vital	other	16.528	0.378	-3.268	0.001	0.015	1.835	0.020
Dril bu WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Additive Synth/Dril bu.vitaltable	Kimura Taro (CC0)	25.515	0.377	-1.351	0.004	0.000	2.191	0.036
Drunk Mean Clown WT.xrni	octave and folded	/home/meneses/.local/share/vital/VitalPresets/Presets/Drunk Mean Clown.vital	user/Discord presets (third-party)	3.142	0.215	-3.438	0.072	0.062	1.783	0.005
ESW Basics - Deep High WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Basics/ESW Basics - Deep High.wav	Echo Sound Works Core (free pack)	4.575	0.236	-2.735	0.011	0.230	2.053	0.007
ESW Chill - Cosine WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Chill/ESW Chill - Cosine.wav	Echo Sound Works Core (free pack)	5.033	0.011	-2.617	0.015	0.005	2.538	0.002
ESW Digital - Phaser Saw WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Phaser Saw.wav	Echo Sound Works Core (free pack)	4.242	0.393	-2.469	0.119	0.097	2.221	0.003
ESW Digital - SSW 04 WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - SSW 04.wav	Echo Sound Works Core (free pack)	12.488	0.221	-1.966	0.313	0.201	2.933	0.013
ESW Digital - Sine Fingers WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Sine Fingers.wav	Echo Sound Works Core (free pack)	4.188	0.019	-3.474	0.067	0.001	1.568	0.002
ESW FM - X Noise WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - X Noise.wav	Echo Sound Works Core (free pack)	50.759	0.009	-0.945	0.321	0.000	3.436	0.031
ESW Growl - Angular WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Growl/ESW Growl - Angular.wav	Echo Sound Works Core (free pack)	7.416	0.108	-1.701	0.320	0.019	1.677	0.033
ESW Growl - Beats WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Growl/ESW Growl - Beats.wav	Echo Sound Works Core (free pack)	12.137	0.094	-1.328	0.099	0.009	2.174	0.015
ESW Growl - Outer Space WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Growl/ESW Growl - Outer Space.wav	Echo Sound Works Core (free pack)	16.650	0.062	-0.758	0.076	0.000	2.594	0.018
ESW Metallic - Ogran Bell WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Metallic/ESW Metallic - Ogran Bell.wav	Echo Sound Works Core (free pack)	3.835	0.375	-2.659	0.022	0.103	2.325	0.004
ESW Metallic - Vocal Bell WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Metallic/ESW Metallic - Vocal Bell.wav	Echo Sound Works Core (free pack)	3.694	0.014	-4.046	0.007	0.005	2.040	0.007
ESW One Shot - LD Clouds WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Synth One Shots/ESW One Shot - LD Clouds.wav	Echo Sound Works Core (free pack)	2.490	0.200	-5.486	0.000	0.136	1.855	0.001
ESW One Shot - LD Tropics WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Synth One Shots/ESW One Shot - LD Tropics.wav	Echo Sound Works Core (free pack)	2.522	0.007	-2.535	0.001	0.001	1.822	0.001
ESW Real - BR French Horn 01 WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - BR French Horn 01.wav	Echo Sound Works Core (free pack)	4.688	0.290	-3.740	0.000	0.004	3.458	0.003
ESW Real - Bell Thin Metal WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Bell Thin Metal.wav	Echo Sound Works Core (free pack)	2.001	0.021	-5.074	0.000	0.020	1.532	0.002
ESW Real - Brass Shorts WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Brass Shorts.wav	Echo Sound Works Core (free pack)	4.576	0.315	-3.574	0.007	0.002	3.325	0.002
ESW Real - Horn 01 WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Horn 01.wav	Echo Sound Works Core (free pack)	4.548	0.293	-3.704	0.001	0.006	3.480	0.003
ESW Real - Key Music Box WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Key Music Box.wav	Echo Sound Works Core (free pack)	4.020	0.001	-2.092	0.066	0.000	1.490	0.000
ESW Real - Mallet Senza WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Mallet Senza.wav	Echo Sound Works Core (free pack)	4.037	0.005	-2.459	0.023	0.000	1.515	0.000
ESW Real - Marimba WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Marimba.wav	Echo Sound Works Core (free pack)	2.257	0.014	-2.502	0.061	0.000	1.706	0.000
ESW Real - Simple Brass WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Simple Brass.wav	Echo Sound Works Core (free pack)	4.786	0.032	-3.904	0.001	0.002	3.227	0.001
ESW Real - String Violins WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - String Violins.wav	Echo Sound Works Core (free pack)	2.195	0.213	-3.752	0.003	0.052	1.987	0.002
ESW Real - WW Chill Sax WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - WW Chill Sax .wav	Echo Sound Works Core (free pack)	4.829	0.003	-1.874	0.004	0.000	2.592	0.004
ESW Real - WW Flutey WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - WW Flutey.wav	Echo Sound Works Core (free pack)	2.130	0.088	-3.749	0.002	0.041	1.827	0.002
ESW Spectral - Over Tones WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Spectral/ESW Spectral - Over Tones.wav	Echo Sound Works Core (free pack)	31.842	0.026	-0.412	0.093	0.001	2.928	0.016
ESW Vocal - Chops for Days WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Chops for Days.wav	Echo Sound Works Core (free pack)	2.019	0.318	-3.009	0.047	0.210	2.075	0.001
ESW Vocal - Digital Vowel WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Digital Vowel.wav	Echo Sound Works Core (free pack)	6.102	0.364	-3.052	0.093	0.063	3.011	0.003
ESW Vocal - Flute Vox WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Flute Vox.wav	Echo Sound Works Core (free pack)	2.031	0.183	-4.535	0.000	0.161	1.860	0.000
ESW Vocal - Mumbles WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Mumbles.wav	Echo Sound Works Core (free pack)	7.471	0.246	-1.866	0.049	0.004	2.535	0.012
ESW Vocal - Serum Voice 01 WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Serum Voice 01.wav	Echo Sound Works Core (free pack)	4.244	0.250	-1.746	0.149	0.090	1.690	0.009
ESW Vocal - Sine Throat WT.xrni	octave and folded	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Sine Throat.wav	Echo Sound Works Core (free pack)	3.747	0.016	-1.001	0.409	0.000	1.804	0.022
Easy Mallet WT.xrni	octave and folded	/home/meneses/.local/share/vital/Factory Presets/Presets/Easy Mallet.vital	other	2.378	0.205	-5.435	0.240	0.200	1.717	0.004
Electric Grand Piano WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Electric Grand Piano.vital	other	45.360	0.043	0.995	0.000	0.000	3.353	0.041
Evil Doers WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Evil Doers.vital	other	3.493	0.345	-2.637	0.008	0.206	2.908	0.003
Extra Large WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Extra Large.vital	other	4.562	0.182	-2.004	0.075	0.140	2.216	0.002
FEEDBACK WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/FEEDBACK.vitaltable	WaveEdit Online (CC0)	17.495	0.009	-1.687	0.245	0.001	2.380	0.163
FX - Riser Up WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/FX - Riser Up.vital	other	11.515	0.208	-1.657	0.000	0.000	2.475	0.013
Formant1 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Formant/Formant1.vitaltable	Kimura Taro (CC0)	11.804	0.344	-2.618	0.003	0.002	2.269	0.010
GRAV-B6 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-B6.vitaltable	WaveEdit Online (CC0)	47.539	0.328	-1.625	0.129	0.006	2.406	0.023
GRAV-C2 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-C2.vitaltable	WaveEdit Online (CC0)	32.528	0.127	-2.229	0.126	0.005	1.600	0.051
GRAV-C9 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GRAV-C9.vitaltable	WaveEdit Online (CC0)	37.828	0.368	-1.896	0.098	0.009	1.873	0.045
Go Arp Yourself WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Go Arp Yourself.vital	other	4.319	0.000	-1.881	0.038	0.000	1.676	0.003
Good Job WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Good Job.vital	other	4.974	0.266	-1.979	0.055	0.203	3.485	0.003
Gorgeous Choir Pad WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Gorgeous Choir Pad.vital	other	5.835	0.140	-1.971	0.082	0.054	2.553	0.002
Grand Piano WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Grand Piano.vital	other	39.594	0.026	1.004	0.000	0.000	3.523	0.030
HVOICEA WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/HVOICEA.vitaltable	WaveEdit Online (CC0)	6.024	0.113	-2.766	0.097	0.011	2.054	0.065
Hardcore FM8 WT.xrni	octave and folded	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Hardcore FM/Hardcore FM8.vitaltable	Kimura Taro (CC0)	14.559	0.326	-1.755	0.126	0.270	2.467	0.017
Horny WT.xrni	octave and folded	/home/meneses/.local/share/vital/VitalPresets/Presets/Horny.vital	user/Discord presets (third-party)	4.548	0.293	-3.705	0.001	0.006	3.480	0.003
Intimate Piano WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Intimate Piano.vital	other	42.165	0.044	0.657	0.000	0.000	2.481	0.063
JUNOX_HO WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/JUNOX_HO.vitaltable	WaveEdit Online (CC0)	14.781	0.046	-1.633	0.250	0.010	2.925	0.062
Keys - Haunted WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Keys - Haunted.vital	other	25.738	0.187	-1.615	0.028	0.002	2.579	0.024
Keys - Run Away WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Keys - Run Away.vital	other	4.575	0.236	-2.736	0.012	0.230	2.053	0.007
Keys - Square Keys Analog WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Keys - Square Keys Analog.vital	other	8.029	0.000	-0.560	0.187	0.000	2.687	0.005
Keys - Synthesized Dreams WT.xrni	octave and folded	/home/meneses/.local/share/vital/Vital Harvest/Presets/Keys - Synthesized Dreams.vital	other	22.769	0.027	-0.738	0.215	0.000	4.027	0.017
LIGHT_00 WT.xrni	octave and folded	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/LIGHT_00.vitaltable	WaveEdit Online (CC0)	8.130	0.010	-1.511	0.104	0.001	2.212	0.069
